Campaign,Asset Group,Asset Type,Asset Text,Final URL,Business Name,Call to Action
Performance Max - Corporate,Corporate Transportation - Chicago,Headline,"Chicago Executive Car Service",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Headline,"Corporate Transportation",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Headline,"Business Travel Solutions",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Headline,"Executive Black Car",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Headline,"Corporate Accounts Available",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Headline,"NET-30 Billing Options",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Headline,"Professional Chauffeurs",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Headline,"Hourly Car Service",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Headline,"Chicago Business Travel",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Headline,"Executive Sedan Service",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Headline,"Corporate Event Transport",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Headline,"Roadshow Transportation",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Headline,"Client Entertainment",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Headline,"Board Meeting Transport",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Headline,"VIP Business Service",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Long Headline,"Professional Corporate Car Service with NET-30 Billing Options",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Long Headline,"Executive Transportation for Chicago Business Professionals",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Long Headline,"Reliable Corporate Black Car Service - Hourly & Point-to-Point",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Long Headline,"Premium Business Travel Solutions with Dedicated Account Manager",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Long Headline,"Chicago Executive Car Service for Roadshows & Corporate Events",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Description,"Professional corporate car service in Chicago. Executive sedans, SUVs, hourly service. Corporate accounts with NET-30 billing.",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Description,"Executive transportation for business travelers. Dedicated account managers, real-time tracking, professional chauffeurs.",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Description,"Premium corporate black car service. Roadshows, client entertainment, board meetings. Flexible billing, instant booking.",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Description,"Chicago executive car service for business professionals. Reliable, professional, on-time. Corporate rates available.",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Business Name,"Chicago Executive Car Service",https://chicagoexecutivecarservice.com,"Chicago Executive Car Service",
Performance Max - Corporate,Corporate Transportation - Chicago,Call to Action,"Get Quote",https://chicagoexecutivecarservice.com,,"Get Quote"
