Campaign,Asset Group,Asset Type,Asset Text,Final URL,Business Name,Call to Action
Performance Max - Airport,Airport Transportation - Chicago,Headline,"Chicago Airport Car Service",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Headline,"O'Hare Black Car Service",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Headline,"Midway Airport Limo",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Headline,"24/7 Airport Transfers",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Headline,"Professional Airport Pickup",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Headline,"Flight Tracking Included",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Headline,"Meet & Greet Service",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Headline,"Luxury Airport Transport",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Headline,"Reliable O'Hare Service",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Headline,"Book Airport Ride Now",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Headline,"Premium Black Car Service",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Headline,"Chicago Airport Limo",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Headline,"ORD & MDW Transfers",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Headline,"On-Time Guarantee",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Headline,"Corporate Airport Service",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Long Headline,"Professional Chicago Airport Transportation with Flight Tracking",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Long Headline,"Luxury Black Car Service to O'Hare and Midway Airports",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Long Headline,"Premium Airport Transfers with Meet & Greet Service",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Long Headline,"Reliable 24/7 Chicago Airport Car Service - Book Now",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Long Headline,"Executive Airport Transportation for Business Travelers",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Description,"Professional airport car service to O'Hare & Midway. Flight tracking, meet & greet, 24/7 availability. Book online instantly.",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Description,"Luxury black car service for Chicago airports. Professional chauffeurs, real-time flight monitoring, guaranteed on-time pickup.",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Description,"Premium airport transportation in Chicago. Serving ORD & MDW with executive sedans and SUVs. Reserve your ride today.",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Description,"Reliable Chicago airport transfers. Corporate accounts, NET-30 billing available. Professional drivers, luxury vehicles.",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Business Name,"Chicago Airport Black Car",https://chicagoairportblackcar.com,"Chicago Airport Black Car",
Performance Max - Airport,Airport Transportation - Chicago,Call to Action,"Book Now",https://chicagoairportblackcar.com,,"Book Now"
